Specimen,Location,Country rocks,Analysis type,Rock Type,Notes,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,Cr2O3,Ba,Ni,Sc,LOI,Sum,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,W,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,TOT/C,TOT/S,Mo,Cu,Pb,Zn,Ni,As,Cd,Sb,Bi,Ag,Au,Hg,Tl,Se
17-38A-1,Barchans,granites,ICP,basalt,,51.70,16.03,8.05,7.66,8.90,2.08,2.26,0.67,0.12,0.25,0.056,127,103,28,1.9,99.76,<1,32.0,8.8,13.9,1.6,1.2,120.4,1,339.0,<0.1,0.8,0.3,191,0.8,58.0,13.7,6.8,14.0,02.06,8.7,2.36,0.76,2.57,0.43,2.69,0.55,1.68,0.22,1.44,0.22,0.10,0.03,0.3,80.3,0.9,57,80.9,0.5,<0.1,<0.1,0.1,<0.1,1.6,0.04,1.2,<0.5
17-40А-1,Barchan N,Paleogene granites,XRF,dioritic porphyrite,,"57,0807","16,2332","7,8532","3,9149","6,7899","3,481","0,8941","0,8355","0,142","0,129",,284,23,,"1,24",,,,,18,,0,40,,385,,2,0,,,100,26,11,17,,10,,,,,,,,,,,,,,40,0,68,,,,,,,,,,
17-51А-1,Forge,Paleogene granites,XRF,diabase,Central part of the dyke,"44,5171","16,6974","9,8048","7,4853","7,2363","2,9541","2,0514","0,8628","0,122","0,1537",,422,34,,"4,22",,,,,17,,0,94,,761,,3,6,,,31,14,8,32,,12,,,,,,,,,,,,,,68,8,102,,,,,,,,,,
17-51А-2,Forge,Paleogene granites,XRF,diabase,Chilled margin,"42,7352","17,1216","10,1682","7,3814","7,9335","3,509","0,8759","0,8789","0,1274","0,1698",,205,37,,"5,02",,,,,19,,0,42,,825,,2,2,,,36,14,15,34,,15,,,,,,,,,,,,,,223,3,136,,,,,,,,,,
17-58А-1,Irizar,,XRF,megacrystic porphyrite,,"49,3111","19,9689","10,0367","4,1559","11,1746","2,2963","0,1856","1,2393","0,1664","0,1931",,78,23,,"0,4",,,,,19,,0,14,,344,,2,0,,,50,24,11,15,,6,,,,,,,,,,,,,,15,0,87,,,,,,,,,,
17-58A-1,Irizar,APVG?,ICP,porphyritic microgabbro,,49.09,19.95,10.71,4.00,11.17,2.32,0.21,1.18,0.16,0.21,0.006,68,<20,30,0.8,99.81,<1,26.8,0.6,18.8,1.8,2.1,3.9,1,352.1,0.2,0.9,0.2,307,<0.5,61.8,20.9,7.0,15.4,2.45,11.8,3.09,1.14,3.81,0.61,3.92,0.84,2.41,0.35,2.15,0.34,0.08,<0.02,0.3,14.4,1.5,30,7.0,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,0.04,<0.1,<0.5
17-58A-2,Irizar,APVG?,ICP,porphyritic microgabbro,,54.09,19.15,09.08,2.90,9.79,2.50,0.13,1.31,0.18,0.17,0.005,69,<20,34,0.5,99.83,<1,21.9,0.5,18.8,2.0,2.3,2.0,1,361.0,0.1,1.0,0.2,313,0.7,70.1,21.9,7.3,17.8,2.71,13.1,3.38,1.22,3.98,0.65,4.12,0.88,2.49,0.34,2.26,0.33,0.06,<0.02,0.3,22.0,4.3,30,5.4,1.4,<0.1,<0.1,<0.1,<0.1,<0.5,0.01,<0.1,<0.5
17-59A-1,Irizar,gabbro-porphyrite,ICP,diabase,crosscut the gabbro-porphyrite body of the Irizar-2,54.17,16.54,10.95,3.51,7.92,4.28,0.16,1.38,0.23,0.17,0.003,22,<20,34,0.5,99.84,<1,21.5,0.3,19.5,2.6,3.1,5.6,1,110.6,0.2,2.4,0.5,309,1.1,89.4,21.5,11.3,24.8,3.39,15.3,3.64,1.16,4.00,0.64,4.05,0.84,2.51,0.34,2.18,0.34,0.08,<0.02,0.5,14.5,2.4,35,7.8,1.5,<0.1,<0.1,<0.1,<0.1,<0.5,0.01,<0.1,<0.5
17-62А-3,NW part ot Petermann Isl,93(+-8) granites,XRF,spessartite,"diabase, central part","44,9678","16,8509","10,0267","11,4383","8,569","1,6147","1,3719","0,9963","0,1518","0,1587",,372,241,,"1,77",,,,,16,,0,40,,611,,2,0,,,57,16,8,14,,8,,,,,,,,,,,,,,8,6,113,,,,,,,,,,
17-62A-2,Petermann,gabbroids,ICP,porphyritic microgabbro,dyke-1,50.09,18.13,10.71,4.45,9.53,3.15,0.68,1.56,0.40,0.16,0.011,304,29,27,0.9,99.76,1,29.1,1.7,20.1,4.4,5.5,20.3,3,516.9,0.3,5.3,1.1,272,0.8,158.5,28.9,21.6,47.9,6.65,28.8,6.61,1.64,6.33,0.95,5.57,1.07,3.11,0.42,2.61,0.42,0.04,0.03,0.6,56.6,3.4,43,14.8,1.3,<0.1,<0.1,<0.1,<0.1,1.4,0.01,<0.1,<0.5
